date,Y_Target_Spread
2024-07-23,1.2989951421385406
2024-07-24,1.2655862966113824
2024-07-25,-0.5800891961658516
2024-07-26,-0.4535508946159616
2024-07-27,-0.3923388187767607
2024-07-28,-0.3067902479761368
2024-07-29,6.499499099301284
2024-07-30,3.2885802784309366
2024-07-31,-0.0219506347166928
2024-08-01,-0.3738463265574534
2024-08-02,-0.4220617479173727
2024-08-03,-0.1134536714133096
2024-08-04,-0.4325822204366751
2024-08-05,-1.6955171038415786
2024-08-06,-1.644149946843848
2024-08-07,-1.3992745023608322
2024-08-08,-1.2996321089943723
2024-08-09,-1.251170046999011
2024-08-10,-1.346539393567869
2024-08-11,-1.532128111708294
2024-08-12,-1.4998770146120513
2024-08-13,-1.401388278804399
2024-08-14,-1.4834574628929906
2024-08-15,-1.5429776581383785
2024-08-16,-1.4776498645628229
2024-08-17,-1.5040150434882582
2024-08-18,-1.3692548741587394
2024-08-19,-1.2443544733431198
2024-08-20,-1.1112145613038624
2024-08-21,-0.8459187507484289
2024-08-22,-0.7931258538625654
2024-08-23,-0.9375009551974208
2024-08-24,-0.8318513233464166
2024-08-25,-0.8152878293287849
2024-08-26,-0.7811857552338228
2024-08-27,-0.6227876409528816
2024-08-28,-0.9099047614081606
2024-08-29,-0.9424728895688615
2024-08-30,-1.1295191777363085
2024-08-31,-1.185277976343257
2024-09-01,-1.1962301116028309
2024-09-02,-1.2353656086992268
2024-09-03,-1.293717521061902
2024-09-04,-1.25116962862573
2024-09-05,-1.2244054971245395
2024-09-06,-1.7141880641257727
2024-09-07,-1.6638454448850108
2024-09-08,-1.4901116540447736
2024-09-09,-1.371440670740432
2024-09-10,-1.9624039975384249
2024-09-11,-1.89448993376938
2024-09-12,-1.836170299271775
2024-09-13,-1.596831971693748
2024-09-14,-1.6516600719465029
2024-09-15,-1.693721159641976
2024-09-16,-1.7602618237563048
2024-09-17,-1.7376086149164998
2024-09-18,-1.6176199038420602
2024-09-19,-0.8541894474714993
2024-09-20,-0.6728655234391727
2024-09-21,-0.5933224990516761
2024-09-22,-0.6137345758614359
2024-09-23,-0.4296763693693597
2024-09-24,-0.3916931536581938
2024-09-25,-0.415383650273962
2024-09-26,3.7012700645591
2024-09-27,-0.4019591831835525
2024-09-28,-0.3997479697274562
2024-09-29,-0.3966875578603943
2024-09-30,3.7570194604264495
2024-10-01,6.719568144906737
2024-10-02,0.949267294867286
2024-10-03,-0.3492295497342077
2024-10-04,-0.4352494962175939
2024-10-05,-0.699459866523088
2024-10-06,-0.6807988544289714
2024-10-07,6.273679891061128
2024-10-08,13.813379897611782
2024-10-09,8.701105502580411
2024-10-10,13.080486246558529
2024-10-11,18.91140282494185
2024-10-12,-0.4840963020759563
2024-10-13,-0.510307707745369
2024-10-14,26.21670839709056
2024-10-15,8.097686149528723
2024-10-16,-0.0848554379773283
2024-10-17,-0.7788238641358163
2024-10-18,8.256302575918532
2024-10-19,-0.3771233734303889
2024-10-20,-0.3008804595147207
2024-10-21,10.552987391846369
2024-10-22,7.743180196289483
2024-10-23,36.52590518664815
2024-10-24,47.99505560929783
2024-10-25,19.49653809252245
2024-10-26,-0.281982401487669
2024-10-27,-0.27718062075005
2024-10-28,39.9234224404893
2024-10-29,42.73419882049526
2024-10-30,45.02481941908309
2024-10-31,42.7485448190513
2024-11-01,34.84786816626747
2024-11-02,-0.4516881406230144
2024-11-03,-0.3669434604703934
2024-11-04,38.57119276010745
2024-11-05,32.43213880969152
2024-11-06,30.459665037876047
2024-11-07,33.75456784852007
2024-11-08,29.538804340195888
2024-11-09,-0.154913030060352
2024-11-10,-0.0575868899973306
2024-11-11,51.099136932915016
2024-11-12,29.31220051955452
2024-11-13,36.19862262664768
2024-11-14,37.43575554138658
2024-11-15,27.53339984066708
2024-11-16,-0.1886873331644762
2024-11-17,-0.273532743625398
2024-11-18,38.71494332674216
2024-11-19,30.61984934704701
2024-11-20,34.679223458746186
2024-11-21,43.80861699429069
2024-11-22,43.05929997201402
2024-11-23,3.958385073420489
2024-11-24,3.5788312608107145
2024-11-25,35.01076787081338
2024-11-26,51.127236954373565
2024-11-27,39.10347998262412
2024-11-28,42.853336795282
2024-11-29,41.22024406681132
2024-11-30,5.530640847836013
2024-12-01,5.364505303860364
2024-12-02,45.94587174023572
2024-12-03,35.75289559534293
2024-12-04,45.595982183169085
2024-12-05,46.790248573395175
2024-12-06,39.98577350408799
2024-12-07,-0.0725090157453847
2024-12-08,12.716555204216045
2024-12-09,49.97524440933229
2024-12-10,43.91030580876052
2024-12-11,51.82516987111361
2024-12-12,52.44608536147263
2024-12-13,6.175035736518545
2024-12-14,6.162139431918892
2024-12-15,9.375188869184177
2024-12-16,9.048377474156757
2024-12-17,5.417314288489131
2024-12-18,6.0036845210774565
2024-12-19,8.439342741210034
2024-12-20,11.633271015988566
2024-12-21,5.6427025961121045
2024-12-22,5.33104998767137
2024-12-23,5.556043556292114
2024-12-24,5.4754336808468285
2024-12-25,5.806709155967011
2024-12-26,5.711922244366547
2024-12-27,5.694544695334124
2024-12-28,5.5117833688177
2024-12-29,5.702209320442472
2024-12-30,4.797612034194402
2024-12-31,4.6750773372425645
2025-01-01,5.51639634996531
2025-01-02,4.75984102063499
2025-01-03,4.82162500169139
2025-01-04,4.538988809061508
2025-01-05,4.391599726707558
2025-01-06,4.700639112041527
2025-01-07,4.442416581887294
2025-01-08,4.39237037536927
2025-01-09,3.880914228965774
2025-01-10,3.9904541220277774
2025-01-11,3.899090585536009
2025-01-12,3.855902338280468
2025-01-13,3.541446199467022
2025-01-14,3.249854296001522
2025-01-15,3.993208364900654
2025-01-16,3.62395367959804
2025-01-17,4.077005901167033
2025-01-18,4.209426979923333
2025-01-19,4.879185285347144
2025-01-20,4.55830442820151
2025-01-21,4.013087139802079
2025-01-22,3.554617731025038
2025-01-23,3.0016963174982765
2025-01-24,2.776639607779656
2025-01-25,2.573499011926057
2025-01-26,2.4172401531525205
2025-01-27,2.351984306652783
2025-01-28,2.149456781891753
2025-01-29,2.1393469121873183
2025-01-30,2.0948901730539795
2025-01-31,1.6716536327803064
2025-02-01,1.7368805406797252
2025-02-02,1.6801835244547565
2025-02-03,0.4998919745258687
2025-02-04,0.4633242805797302
2025-02-05,0.6093432401137839
2025-02-06,0.5531886540324527
2025-02-07,0.5195051881664545
2025-02-08,0.3722844841831936
2025-02-09,0.3275563808455066
2025-02-10,0.2266347517702032
2025-02-11,-0.7288538328730239
2025-02-12,-0.3076386492158107
2025-02-13,-0.2982948545006429
2025-02-14,-0.1977017749201781
2025-02-15,-0.193090850437164
2025-02-16,-0.0404825775967383
2025-02-17,-0.2042627016759066
2025-02-18,-0.1129663290140516
2025-02-19,-0.0691575463024918
2025-02-20,-0.1748119113626032
2025-02-21,-0.180219348308376
2025-02-22,-0.0969293369884889
2025-02-23,-0.080519283509215
2025-02-24,-0.2786069750272935
2025-02-25,-0.3995574909107335
2025-02-26,0.4557441090645353
2025-02-27,-0.1185937612782792
2025-02-28,-0.9279763866759874
2025-03-01,-0.9652001401938696
2025-03-02,-1.0204648245508716
2025-03-03,-1.1215384057498614
2025-03-04,-0.9634782140958236
2025-03-05,-0.933305599155204
2025-03-06,-0.869322232621283
2025-03-07,-1.0587356710193694
2025-03-08,-1.0352411838962818
2025-03-09,-1.016953935450772
2025-03-10,-1.6955584662499428
2025-03-11,-1.6235345165698485
2025-03-12,-1.9160673488178297
2025-03-13,-1.564741957517188
2025-03-14,-1.4468020966742832
2025-03-15,-1.511095437474105
2025-03-16,-1.6467835182512829
2025-03-17,-1.66437715610266
2025-03-18,-1.572787818879811
2025-03-19,-2.062430722920764
2025-03-20,-1.754030750536459
2025-03-21,-1.264398378225783
2025-03-22,-1.201871876383621
2025-03-23,-1.335999634037384
2025-03-24,-1.4212433334281105
2025-03-25,-1.4231385951604985
2025-03-26,-1.4924431293170648
2025-03-27,-1.3714703708629243
2025-03-28,-0.9854336627295316
2025-03-29,-1.1944727388890517
2025-03-30,-1.2317618713794958
2025-03-31,-1.462025817554287
2025-04-01,-1.4730916361329158
2025-04-02,-1.5327534925542494
2025-04-03,-1.7480036823792957
2025-04-04,-1.6167808755648796
2025-04-05,-1.6099292553775562
2025-04-06,-1.7983570069822288
2025-04-07,-1.755120663843229
2025-04-08,-1.809831156268694
2025-04-09,-1.7436195935225398
2025-04-10,-1.4914372417396526
2025-04-11,-1.134471553139563
2025-04-12,-1.19881270839057
2025-04-13,-1.278799635072808
2025-04-14,-1.2935646617148744
2025-04-15,-1.6396321073878362
2025-04-16,-1.7014201145011625
2025-04-17,-1.7562921132149536
2025-04-18,-1.7328884517653211
2025-04-19,-1.793100530428747
2025-04-20,-1.845595587297291
2025-04-21,-1.7249891276941811
2025-04-22,-1.904044459466004
2025-04-23,-1.9704952035361365
2025-04-24,-1.9766882767806129
2025-04-25,-2.03880646943503
2025-04-26,-1.6249376975107634
2025-04-27,-1.477700062503022
2025-04-28,-1.5081135333770903
2025-04-29,-1.5673160250289715
2025-04-30,-1.6069538135918235
2025-05-01,-1.4294025574934368
2025-05-02,-1.433955664393534
