date,Lido_APY,Lido_TVL
2023-07-21,3.9,14718966304.0
2023-07-22,3.9,14675034133.0
2023-07-23,3.9,14711605371.0
2023-07-24,4.0,14457906517.0
2023-07-25,4.0,14602116521.0
2023-07-26,4.0,14690398972.0
2023-07-27,4.0,14638936418.0
2023-07-28,4.0,14814675532.0
2023-07-29,4.0,14875188675.0
2023-07-30,4.0,14726044189.0
2023-07-31,4.2,14750409517.0
2023-08-01,4.2,14700687625.0
2023-08-02,4.2,14655377239.0
2023-08-03,4.1,14600270151.0
2023-08-04,4.1,14610943720.0
2023-08-05,4.1,14641436248.0
2023-08-06,4.0,14591279620.0
2023-08-07,4.1,14573818750.0
2023-08-08,3.8,14882313505.0
2023-08-09,3.8,14841597468.0
2023-08-10,3.8,14893548365.0
2023-08-11,3.8,14862647590.0
2023-08-12,3.8,14939188588.0
2023-08-13,3.8,14992833491.0
2023-08-14,3.8,14934294403.0
2023-08-15,3.8,14851919166.0
2023-08-16,3.8,14700077357.0
2023-08-17,3.8,13374099524.0
2023-08-18,4.0,13578011052.0
2023-08-19,4.0,13679202464.0
2023-08-20,4.0,13815533540.0
2023-08-21,4.1,13803739456.0
2023-08-22,4.0,13395928704.0
2023-08-23,4.0,13672815226.0
2023-08-24,4.0,13824935039.0
2023-08-25,4.0,13822755099.0
2023-08-26,3.8,13836636769.0
2023-08-27,3.7,13881530102.0
2023-08-28,3.8,13934257171.0
2023-08-29,3.8,14722074923.0
2023-08-30,3.8,14513329111.0
2023-08-31,3.8,14032180979.0
2023-09-01,3.8,13876886142.0
2023-09-02,3.7,13958824315.0
2023-09-03,3.7,13975919695.0
2023-09-04,3.7,13866748080.0
2023-09-05,3.7,13967571000.0
2023-09-06,3.6,13970318633.0
2023-09-07,3.6,14169315704.0
2023-09-08,3.6,14045647489.0
2023-09-09,3.6,14049050925.0
2023-09-10,3.7,13955271543.0
2023-09-11,3.7,13343453068.0
2023-09-12,3.8,13785248596.0
2023-09-13,3.8,13879950122.0
2023-09-14,3.7,14057594564.0
2023-09-15,3.7,14114960131.0
2023-09-16,3.6,14153368317.0
2023-09-17,3.6,13981493703.0
2023-09-18,3.6,14215283214.0
2023-09-19,3.6,14264640206.0
2023-09-20,3.6,14128241306.0
2023-09-21,3.6,13789892101.0
2023-09-22,3.6,13884326230.0
2023-09-23,3.6,13895682649.0
2023-09-24,3.5,13851150619.0
2023-09-25,3.6,13835568829.0
2023-09-26,3.6,13885590804.0
2023-09-27,3.6,13949989210.0
2023-09-28,3.5,14428202205.0
2023-09-29,3.5,14605671694.0
2023-09-30,3.5,14719874125.0
2023-10-01,3.5,14734203793.0
2023-10-02,3.5,14542703895.0
2023-10-03,3.6,14533845697.0
2023-10-04,3.6,14510015876.0
2023-10-05,3.6,14270638483.0
2023-10-06,3.6,14579420437.0
2023-10-07,3.5,14398705958.0
2023-10-08,3.5,14447474416.0
2023-10-09,3.4,13935228582.0
2023-10-10,3.4,13815001735.0
2023-10-11,3.3,13785380058.0
2023-10-12,3.3,13560728740.0
2023-10-13,3.3,13757708256.0
2023-10-14,3.3,13744564559.0
2023-10-15,3.3,13767392070.0
2023-10-16,3.3,14056132064.0
2023-10-17,3.4,13782074757.0
2023-10-18,3.5,13774496019.0
2023-10-19,3.6,13816376626.0
2023-10-20,3.6,14204594946.0
2023-10-21,3.6,14407011457.0
2023-10-22,3.7,14472835509.0
2023-10-23,3.7,15112944899.0
2023-10-24,3.8,15623606476.0
2023-10-25,3.6,15746769109.0
2023-10-26,3.7,15859313343.0
2023-10-27,3.7,15637891985.0
2023-10-28,3.8,15651387910.0
2023-10-29,3.8,15843353945.0
2023-10-30,3.8,15917609456.0
2023-10-31,3.8,15931207535.0
2023-11-01,3.8,16279550913.0
2023-11-02,3.8,15988110784.0
2023-11-03,3.8,16175225139.0
2023-11-04,3.7,16326288774.0
2023-11-05,3.7,16675754548.0
2023-11-06,3.7,16899011451.0
2023-11-07,3.7,16809888837.0
2023-11-08,3.7,16903230076.0
2023-11-09,3.6,18640962840.0
2023-11-10,3.8,18713957645.0
2023-11-11,3.8,18273188666.0
2023-11-12,3.9,18443652875.0
2023-11-13,3.9,18457953119.0
2023-11-14,4.0,17697307875.0
2023-11-15,4.0,18335659005.0
2023-11-16,4.0,17513987382.0
2023-11-17,3.9,17376767659.0
2023-11-18,3.8,17570301953.0
2023-11-19,3.8,17820820683.0
2023-11-20,3.7,18196890837.0
2023-11-21,3.7,17814285819.0
2023-11-22,3.6,19035437320.0
2023-11-23,3.6,19007306629.0
2023-11-24,3.6,19008647949.0
2023-11-25,3.6,19173980973.0
2023-11-26,3.6,19086277361.0
2023-11-27,3.6,18601498706.0
2023-11-28,3.6,19044134257.0
2023-11-29,3.7,18785240361.0
2023-11-30,3.6,18977490523.0
2023-12-01,3.6,19400421889.0
2023-12-02,3.6,19993358398.0
2023-12-03,3.6,19999059999.0
2023-12-11,3.8,19898974103.0
2023-12-13,3.8,19996427138.0
2023-12-18,3.8,19981707761.0
2023-12-19,3.8,19957938936.0
2023-12-20,3.8,19936499423.0
2023-12-21,3.8,19989978863.0
2023-12-26,3.6,19972627403.0
2024-01-07,3.1,20603031243.0
2024-01-08,3.3,21702077217.0
2024-01-09,3.5,21511050786.0
2024-01-10,4.0,23494154968.0
2024-01-11,3.9,24326480765.0
2024-01-12,3.3,23120204457.0
2024-01-13,3.5,23924527266.0
2024-01-14,3.3,23471325505.0
2024-01-15,3.3,23531312308.0
2024-01-16,3.6,24254117547.0
2024-01-17,3.5,23424673089.0
2024-01-18,3.4,22893966753.0
2024-01-19,4.5,23159085894.0
2024-01-20,3.3,22987318068.0
2024-01-21,3.1,23036834477.0
2024-01-22,3.2,21763237201.0
2024-01-23,3.8,20616051080.0
2024-01-24,3.2,20752318830.0
2024-01-25,3.3,20815494202.0
2024-01-26,3.6,21119276969.0
2024-01-27,3.5,21259147600.0
2024-01-28,3.2,21205990693.0
2024-01-29,3.1,21678645386.0
2024-01-30,3.3,22331470467.0
2024-01-31,3.5,21403505916.0
2024-02-01,3.5,21752922635.0
2024-02-02,3.3,21805522279.0
2024-02-03,3.5,21800358025.0
2024-02-04,3.0,21839623933.0
2024-02-05,3.0,21732987500.0
2024-02-06,3.3,22646544525.0
2024-02-07,3.443,23175974515.0
2024-02-08,3.792,23182873437.0
2024-02-09,3.88,24068585114.0
2024-02-10,3.641,24053720528.0
2024-02-11,3.336,24053730354.0
2024-02-12,3.352,25451982026.0
2024-02-13,4.275,25424531525.0
2024-02-14,3.562,27049017481.0
2024-02-15,3.279,27309705308.0
2024-02-16,3.778,27263988634.0
2024-02-17,3.126,27294369118.0
2024-02-18,3.127,27997797029.0
2024-02-19,3.263,29065348699.0
2024-02-20,3.363,29251788734.0
2024-02-21,3.466,28614502893.0
2024-02-22,3.468,29230175612.0
2024-02-23,3.415,28829373369.0
2024-02-24,3.467,29277853064.0
2024-02-25,3.148,30502625248.0
2024-02-26,3.262,31196506470.0
2024-02-27,3.472,31861958743.0
2024-02-28,3.426,32724017868.0
2024-02-29,3.7,32738825734.0
2024-03-01,3.336,33744163658.0
2024-03-02,3.49,33521374470.0
2024-03-03,3.294,34165505427.0
2024-03-04,3.449,34789324383.0
2024-03-05,3.836,34181903127.0
2024-03-06,4.13,37810693355.0
2024-03-07,3.904,38177828703.0
2024-03-08,3.523,38509199913.0
2024-03-09,3.521,38499907781.0
2024-03-10,3.404,38092100891.0
2024-03-11,3.586,40127551638.0
2024-03-12,3.677,38802967969.0
2024-03-13,3.644,39231372318.0
2024-03-14,3.438,37938616956.0
